,level_0,index,date,open,high,low,close,volume,ema10,ema20,ema50,ema100,ema200,upper,lower,signal
96,96,96,2022-01-02 00:00:00,47722.66000000,47750.00000000,47463.63000000,47517.62000000,294.05935000,47479.142080196856,47439.93217192073,47319.89543171167,47119.130600395816,46865.889376306724,47852.20477955001,47038.441289628114,
97,97,97,2022-01-02 00:15:00,47517.63000000,47578.79000000,47381.12000000,47544.70000000,324.85868000,47491.06170197924,47449.91006030923,47328.711297134745,47127.55771721966,46872.64371087084,47849.716443431294,47035.9529535094,
98,98,98,2022-01-02 00:30:00,47544.70000000,47699.39000000,47491.43000000,47638.95000000,266.91970000,47517.95048343756,47467.9138640893,47340.87752077652,47137.68429707669,46880.268649071135,47845.70449085821,47031.94100093631,
99,99,99,2022-01-02 00:45:00,47641.55000000,47700.00000000,47575.69000000,47625.30000000,196.67044000,47537.468577358006,47482.90301989032,47352.031343491166,47147.34005357022,46887.68189634406,47840.068807433716,47026.30531751182,
100,100,100,2022-01-02 01:00:00,47625.29000000,47641.83000000,47425.65000000,47442.34000000,138.49194000,47520.17247238382,47479.03987513886,47355.572859432694,47153.18163666783,46893.200882450095,47832.75482964979,47018.991339727894,
101,101,101,2022-01-02 01:15:00,47442.34000000,47504.92000000,47412.89000000,47455.23000000,121.11451000,47508.36475013221,47476.77226798277,47359.4809825922,47159.16279237738,46898.79321197795,47823.75369261459,47009.990202692694,
102,102,102,2022-01-02 01:30:00,47455.22000000,47485.23000000,47315.53000000,47388.64000000,116.61685000,47486.596613744536,47468.37871865108,47360.62447347093,47163.70689549862,46903.66730937121,47813.10098917405,46999.33749925215,
103,103,103,2022-01-02 01:45:00,47388.64000000,47404.17000000,47315.38000000,47377.97000000,89.53030000,47466.84632033644,47459.76836449384,47361.30469019756,47167.94972925112,46908.38673912871,47800.874630521605,46987.11114059971,
104,104,104,2022-01-02 02:00:00,47377.97000000,47438.08000000,47325.81000000,47436.78000000,99.55940000,47461.3797166389,47457.578996446806,47364.26450626825,47173.27310094912,46913.64438351549,47787.192259128235,46973.42876920634,
105,105,105,2022-01-02 02:15:00,47438.08000000,47449.56000000,47310.00000000,47326.09000000,110.00959000,47436.78158634091,47445.056234880445,47362.767466806756,47176.29917815804,46917.748319997925,47772.20854039082,46958.44505046892,
106,106,106,2022-01-02 02:30:00,47326.08000000,47439.21000000,47275.50000000,47370.41000000,151.72986000,47424.71402518802,47437.94706965373,47363.06717399081,47180.14295680838,46922.25241631636,47756.11247406626,46942.348984144366,
107,107,107,2022-01-02 02:45:00,47370.40000000,47427.86000000,47357.06000000,47370.50000000,91.09360000,47414.85692969929,47431.52353921052,47363.358657363715,47183.91240320821,46926.71259127839,47739.12465801375,46925.361168091855,
108,108,108,2022-01-02 03:00:00,47370.49000000,47393.45000000,47283.33000000,47295.80000000,83.40265000,47393.210215208506,47418.597487857136,47360.709298251415,47186.12799918428,46930.38510280796,47721.49424907964,46907.73075915774,
109,109,109,2022-01-02 03:15:00,47295.81000000,47389.48000000,47269.47000000,47382.71000000,90.12151000,47391.30108517059,47415.17963187074,47361.572070869006,47190.020712071724,46934.88584805365,47703.495240847325,46889.73175092543,
110,110,110,2022-01-02 03:30:00,47382.71000000,47467.11000000,47373.94000000,47406.18000000,93.06283000,47394.00634241229,47414.32252407353,47363.32140142316,47194.3010940109,46939.575342102864,47685.42164615209,46871.658156230194,
111,111,111,2022-01-02 03:45:00,47406.18000000,47415.00000000,47282.82000000,47329.47000000,120.66603000,47382.27246197369,47406.24133130462,47361.993895485,47196.977706010686,46943.45489093767,47667.58124672932,46853.817756807424,
112,112,112,2022-01-02 04:00:00,47329.47000000,47415.73000000,47294.29000000,47381.63000000,117.25266000,47382.15565070575,47403.897394989894,47362.76393879932,47200.63418707978,46947.814842271626,47650.28774515268,46836.52425523078,
113,113,113,2022-01-02 04:15:00,47381.64000000,47382.48000000,47289.00000000,47305.86000000,91.68911000,47368.28371421379,47394.56050022895,47360.53241178758,47202.71786654354,46951.377480656985,47633.851397359045,46820.08790743715,
114,114,114,2022-01-02 04:30:00,47305.87000000,47387.95000000,47112.66000000,47159.47000000,366.01707000,47330.31758435673,47372.17092877858,47352.64761132532,47201.861473146644,46953.44805298876,47618.56847471044,46804.80498478854,
115,115,115,2022-01-02 04:45:00,47159.47000000,47168.14000000,46770.23000000,46910.30000000,684.72936000,47253.95075083732,47328.18322127585,47335.30064617531,47196.08797862889,46953.01871912817,47604.71015324901,46790.946663327115,
116,116,116,2022-01-02 05:00:00,46910.30000000,47006.40000000,46832.08000000,46882.49000000,238.54018000,47186.41243250326,47285.73624782101,47317.54336593314,47189.87811766595,46952.31694082839,47592.51160815727,46778.74811823537,
117,117,117,2022-01-02 05:15:00,46882.49000000,46964.58000000,46850.00000000,46945.27000000,135.97000000,47142.5683538663,47253.31089088568,47302.94441040635,47185.034392563655,46952.24682201418,47582.16216917274,46768.398679250844,
