,level_0,index,date,open,high,low,close,volume,ema10,ema20,ema50,ema100,ema200,vc,vwap21,vwap50,vwap100,vwap200,upper,lower,signal
38,38,38,2023-05-02 14:00:00,28009.07000000,28629.93000000,27910.00000000,28374.22,9106.02335,28099.735876453517,28124.854407301646,28408.728144793396,28716.30422467352,28966.035280740896,258376309.858037,28047.8156845085,28349.4664458155,28563.9199746232,28576.5689445627,28644.719745453694,27991.53910708802,
39,39,39,2023-05-02 15:00:00,28374.22000000,28767.08000000,28263.70000000,28540.68,7079.13957,28179.90753528015,28164.45684470149,28413.902727350516,28712.82651725424,28961.802889887756,202043457.14270762,28113.2732818842,28349.4664458155,28563.9199746232,28576.5689445627,28673.39352421534,28020.212885849665,
40,40,40,2023-05-02 16:00:00,28540.69000000,28614.45000000,28444.30000000,28468.58,2584.05309,28232.39343795648,28193.42095472992,28416.046934121085,28707.989952556138,28956.895199441115,73564322.1169122,28172.9388355078,28349.4664458155,28563.9199746232,28576.5689445627,28701.28799312688,28048.107354761207,
41,41,41,2023-05-02 17:00:00,28468.58000000,28594.58000000,28431.48000000,28583.52,1660.93542,28296.2346310553,28230.573244755644,28422.61450533202,28705.52520102037,28953.180023327273,47475380.7962784,28225.081072296,28349.4664458155,28563.9199746232,28576.5689445627,28727.89908225579,28074.718443890117,
42,42,42,2023-05-02 18:00:00,28583.53000000,28811.98000000,28537.19000000,28718.9,2684.15827,28373.082879954338,28277.080554778913,28434.23354433861,28705.790048524916,28950.848878816552,77086072.940303,28265.4616827169,28349.4664458155,28563.9199746232,28576.5689445627,28752.78205179056,28099.601413424887,
43,43,43,2023-05-02 19:00:00,28718.90000000,28879.88000000,28655.66000000,28686.14,3394.53773,28430.002356326277,28316.03859718092,28444.112228874354,28705.400938653132,28948.214959624347,97376184.5580622,28306.6347027209,28349.4664458155,28563.9199746232,28576.5689445627,28775.567934308852,28122.38729594318,
44,44,44,2023-05-02 20:00:00,28686.13000000,28788.99000000,28622.44000000,28675.98,1833.48542,28474.72556426695,28350.31873078274,28453.205082643988,28704.818345808515,28945.506154055947,52576991.2342116,28328.8481444108,28349.4664458155,28563.9199746232,28576.5689445627,28795.976228357904,28142.79558999223,
45,45,45,2023-05-02 21:00:00,28675.98000000,28693.66000000,28616.08000000,28660.46,834.82841,28508.49546167296,28379.855994517715,28461.33272646187,28703.939962723198,28942.66987391609,23926566.2516686,28346.0536146134,28349.4664458155,28563.9199746232,28576.5689445627,28813.8231732567,28160.642534891027,
46,46,46,2023-05-02 22:00:00,28660.45000000,28815.43000000,28651.99000000,28736.91,1996.34648,28550.025377732418,28413.86113789698,28472.13967836533,28704.59283474848,28940.622511986578,57368829.1245768,28374.043695101,28349.4664458155,28563.9199746232,28576.5689445627,28829.025394763557,28175.844756397884,
47,47,47,2023-05-02 23:00:00,28736.91000000,28770.18000000,28625.19000000,28669.86,1288.90536,28571.81349087198,28438.241981906795,28479.89341646865,28703.90505584257,28937.928357638455,36952736.2244496,28390.7341581769,28349.4664458155,28563.9199746232,28576.5689445627,28841.599159614227,28188.418521248554,
